,precision,recall,f1-score,support
Bean,0.9800995024875622,0.985,0.9825436408977556,200.0
Bitter_Gourd,0.9519230769230769,0.99,0.9705882352941176,200.0
Bottle_Gourd,0.995,0.995,0.995,200.0
Brinjal,0.9707317073170731,0.995,0.9827160493827161,200.0
Broccoli,0.975,0.975,0.975,200.0
Cabbage,0.9748743718592965,0.97,0.9724310776942355,200.0
Capsicum,0.9850746268656716,0.99,0.9875311720698254,200.0
Carrot,1.0,1.0,1.0,200.0
Cauliflower,0.9948453608247423,0.965,0.9796954314720813,200.0
Cucumber,0.9950248756218906,1.0,0.9975062344139651,200.0
Papaya,0.9897435897435898,0.965,0.9772151898734177,200.0
Potato,1.0,1.0,1.0,200.0
Pumpkin,0.9797979797979798,0.97,0.9748743718592965,200.0
Radish,1.0,1.0,1.0,200.0
Tomato,0.9747474747474747,0.965,0.9698492462311558,200.0
accuracy,0.9843333333333333,0.9843333333333333,0.9843333333333333,0.9843333333333333
macro avg,0.9844575044125571,0.9843333333333334,0.9843300432792378,3000.0
weighted avg,0.9844575044125572,0.9843333333333333,0.9843300432792377,3000.0
