,Bean,Bitter_Gourd,Bottle_Gourd,Brinjal,Broccoli,Cabbage,Capsicum,Carrot,Cauliflower,Cucumber,Papaya,Potato,Pumpkin,Radish,Tomato
Bean,197,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Bitter_Gourd,0,198,0,0,1,0,0,0,0,0,0,0,0,0,1
Bottle_Gourd,0,0,199,0,0,0,1,0,0,0,0,0,0,0,0
Brinjal,1,0,0,199,0,0,0,0,0,0,0,0,0,0,0
Broccoli,0,1,0,0,195,2,0,0,0,0,0,0,1,0,1
Cabbage,0,2,0,0,1,194,0,0,1,0,0,0,2,0,0
Capsicum,1,0,0,0,0,0,198,0,0,0,1,0,0,0,0
Carrot,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0
Cauliflower,0,4,0,0,0,0,0,0,193,0,0,0,1,0,2
Cucumber,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
Papaya,0,0,1,3,0,0,2,0,0,1,193,0,0,0,0
Potato,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0
Pumpkin,0,2,0,0,2,1,0,0,0,0,0,0,194,0,1
Radish,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0
Tomato,2,0,0,1,1,2,0,0,0,0,1,0,0,0,193
